"","MothersID","DayofYear","NestID","Interval","Fate","MalesIDinTerritory","Year","DayofYear2","FatScore","Experimenter","Body","Body2","Fatbin","Aviary"
"190","Crema",20104,"AN027",3,1,"Nacho","2020",0.381414795946687,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"191","Crema",20143,"AN036",2,1,"Nacho","2020",0.488560201825592,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"192","Crema",20113,"AN027",1,0,"Nacho","2020",0.406140658841819,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"193","Crema",20149,"AN036",2,0,"Nacho","2020",0.505044110422347,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"194","Crema",20141,"AN036",2,1,"Nacho","2020",0.483065565626674,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"196","Crema",20133,"AN036",1,1,"Nacho","2020",0.461087020831001,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"197","Crema",19198,"AN073",6,1,"Nacho","2019",-2.10765540216328,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"198","Crema",20106,"AN027",1,1,"Nacho","2020",0.386909432145605,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"199","Crema",20139,"AN036",2,1,"Nacho","2020",0.477570929427756,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"200","Crema",20118,"AN036",1,1,"Nacho","2020",0.419877249339114,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"201","Crema",20105,"AN027",1,1,"Nacho","2020",0.384162114046146,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"202","Crema",20145,"AN036",1,0,"Nacho","2020",0.494054838024511,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"203","Crema",20151,"AN036",2,0,"Nacho","2020",0.510538746621265,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"204","Crema",20153,"AN036",2,0,"Nacho","2020",0.516033382820184,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"205","Crema",20144,"AN036",1,0,"Nacho","2020",0.491307519925052,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"206","Crema",20128,"AN036",1,1,"Nacho","2020",0.447350430333706,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"208","Crema",20114,"AN036",1,1,"Nacho","2020",0.408887976941278,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"209","Crema",19156,"AN058",1,1,"Taquito","2019",-2.22304276234056,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"210","Crema",20119,"AN036",1,1,"Nacho","2020",0.422624567438573,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"211","Crema",20134,"AN036",1,1,"Nacho","2020",0.46383433893046,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"212","Crema",20137,"AN036",3,1,"Nacho","2020",0.472076293228838,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"213","Crema",20132,"AN036",3,1,"Nacho","2020",0.458339702731542,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"215","Crema",19154,"AN058",4,1,"Nacho","2019",-2.22853739853948,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"216","Crema",20147,"AN036",2,0,"Nacho","2020",0.499549474223429,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"217","Crema",19155,"AN058",1,1,"Nacho","2019",-2.22579008044002,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"218","Crema",20122,"AN036",1,1,"Nacho","2020",0.430866521736951,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"219","Crema",19175,"AN058",6,1,"Taquito","2019",-2.17084371845084,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"220","Crema",20129,"AN036",1,1,"Nacho","2020",0.450097748433165,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"221","Crema",20126,"AN036",1,1,"Nacho","2020",0.441855794134787,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"222","Crema",20155,"AN036",2,0,"Nacho","2020",0.521528019019102,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"223","Crema",19169,"AN058",13,1,"Taquito","2019",-2.18732762704759,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"224","Crema",20121,"AN036",2,1,"Nacho","2020",0.428119203637492,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"226","Crema",20127,"AN036",1,1,"Nacho","2020",0.444603112234246,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"227","Crema",20125,"AN036",3,1,"Nacho","2020",0.439108476035328,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"228","Enchilada",20143,"AN011",1,1,"UB","2020",0.488560201825592,1,"MF",73.0161206519895,-2.66529871028957,1,"no"
"229","Enchilada",20128,"AN011",1,1,"UB","2020",0.447350430333706,1,"MF",73.0161206519895,-2.66529871028957,1,"no"
"230","Enchilada",20121,"AN011",2,1,"UB","2020",0.428119203637492,1,"MF",73.0161206519895,-2.66529871028957,1,"no"
"231","Enchilada",20122,"AN011",1,1,"UB","2020",0.430866521736951,1,"MF",73.0161206519895,-2.66529871028957,1,"no"
