CodingDate,VideoCoder,VideoFileName,TrialDate,Experimenter,BirdID,Test,AviaryOrWild,Condition,Time,IndicatedTrial,LatencyFirstLandingOnFloor,LatencyFirstTimeWithin20cmOfObject,LatencyFirstTouchToFood,LatencyFirstTouchToApparatus,ApproachedFirst,TotalDurationNear<20cm,TotalDurationFar>20cm,TotalDurationOutOfView,ClosestDistanceToApparatus,TrialDuration,TotalTouchesToApparatus,MotorActionsUsed,TotalNumberMotorActionsUsedForThisBirdInThisExperiment,Notes
2020-02-22,AJB,A035P-2018-12-22 Boldness C3 T1,2018-12-22,CL,A035P,Boldness,Aviary,C3,1,1,3.40,n/a,7.80,n/a,n/a,n/a,n/a,n/a,n/a,303.60,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-22,AJB,A035P-2018-12-22 Boldness C3 T2,2018-12-22,CL,A035P,Boldness,Aviary,C3,1,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,903.00,OutOfView,903.00,n/a,n/a,n/a,
2020-02-22,AJB,A035P-2018-12-22 Boldness C3 T3,2018-12-22,CL,A035P,Boldness,Aviary,C3,1,3,7.20,n/a,8.80,n/a,n/a,n/a,n/a,n/a,n/a,307.60,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-22,AJB,A035P- 2019-2-8 Boldness Time2 C1 T1,2019-02-08,KM,A035P,Boldness,Aviary,C1,2,1,2.40,n/a,3.80,n/a,n/a,n/a,n/a,n/a,n/a,223.20,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-22,AJB,A035P- 2019-2-8 Boldness Time2 C1 T2,2019-02-08,KM,A035P,Boldness,Aviary,C1,2,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,639.80,OutOfView,639.80,n/a,n/a,n/a,
2020-02-22,AJB,A035P- 2019-2-8 Boldness Time2 C1 T3,2019-02-08,KM,A035P,Boldness,Aviary,C1,2,3,1.00,n/a,2.60,n/a,n/a,n/a,n/a,n/a,n/a,216.20,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-22,AJB,A035P- 2019-02-10 Boldness Time2 C2 T1,2019-02-10,LB,A035P,Boldness,Aviary,C2,2,1,9.20,n/a,11.00,n/a,n/a,n/a,n/a,n/a,n/a,305.80,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-22,AJB,A035P- 2019-02-10 Boldness Time2 C2 T2,2019-02-10,LB,A035P,Boldness,Aviary,C2,2,2,28.60,85.00,85.20,436.40,Food,379.60,258.20,278.20,Touch,915.80,51,"PeckHorz, StandOnTop, GrabHorz, PeckVert, PullVert, PeckUpDown",n/a,"Hard to tell what's going on because 1) the Pigeon is mostly obscured by the metal door frame of the aviary; 2) when the bird stands on the wood platform of the Pigeon, the platform/Pigeon rocks back and forth; and 3) when the bird does touch the Pigeon with his bill, the Pigeon's feathers obscure, at times, what the bird does - motor-actions-wise - with his bill "
2020-02-22,AJB,A035P- 2019-02-10 Boldness Time2 C2 T3,2019-02-10,LB,A035P,Boldness,Aviary,C2,2,3,2.60,n/a,4.80,n/a,n/a,n/a,n/a,n/a,n/a,334.40,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-22,AJB,A035P- 2019-2-11 Boldness Time2 C3 T1,2019-02-11,KM,A035P,Boldness,Aviary,C3,2,1,1.00,n/a,2.60,n/a,n/a,n/a,n/a,n/a,n/a,168.60,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-22,AJB,A035P- 2019-2-11 Boldness Time2 C3 T2,2019-02-11,KM,A035P,Boldness,Aviary,C3,2,2,11.00,69.20,106.80,69.20,Object,255.20,247.40,205.80,Touch,708.20,n/a,PeckOnTop,n/a,
2020-02-22,AJB,A035P- 2019-2-11 Boldness Time2 C3 T3,2019-02-11,KM,A035P,Boldness,Aviary,C3,2,3,1.20,n/a,2.00,n/a,n/a,n/a,n/a,n/a,n/a,303.60,n/a,n/a,7,No Solomon output excel file because not trial 2
2020-02-23,AJB,A036R-2018-12-22 Boldness C1 T1,2018-12-22,CL,A036R,Boldness,Aviary,C1,1,1,5.80,n/a,7.40,n/a,n/a,n/a,n/a,n/a,n/a,297.20,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-23,AJB,A036R-2018-12-22 Boldness C1 T2,2018-12-22,CL,A036R,Boldness,Aviary,C1,1,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,904.80,OutOfView,904.80,n/a,n/a,n/a,
2020-02-23,AJB,A036R-2018-12-22 Boldness C1 T3,2018-12-22,CL,A036R,Boldness,Aviary,C1,1,3,1.80,n/a,7.20,n/a,n/a,n/a,n/a,n/a,n/a,308.60,n/a,n/a,n/a,No Solomon output excel file because not trial 2
